method,protein,ligand,affinity,output_file
qvina,8SPD,ligand_143,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_143_out.pdbqt
qvina,8SPD,ligand_144,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_144_out.pdbqt
qvina,8SPD,ligand_145,-6.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_145_out.pdbqt
qvina,8SPD,ligand_146,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_146_out.pdbqt
qvina,8SPD,ligand_147,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_147_out.pdbqt
qvina,8SPD,ligand_148,-6.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_148_out.pdbqt
qvina,8SPD,ligand_149,-6.0,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_149_out.pdbqt
qvina,8SPD,ligand_150,-5.7,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_150_out.pdbqt
qvina,8SPD,ligand_151,-5.1,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_151_out.pdbqt
qvina,8SPD,ligand_152,-5.9,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_152_out.pdbqt
qvina,8SPD,ligand_153,-5.8,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_153_out.pdbqt
qvina,8SPD,ligand_154,-5.5,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_154_out.pdbqt
qvina,8SPD,ligand_155,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_155_out.pdbqt
qvina,8SPD,ligand_156,-5.6,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_156_out.pdbqt
qvina,8SPD,ligand_157,-5.3,/mnt/tank/scratch/okonovalova/docking-benchmark/data/results/qvina/8SPD/ligand_157_out.pdbqt
